llave,imdbtitle,imdbyear
race213ace2,Race 2,2013
racei16acei,Race,2016
racetow09tain,Race to Witch Mountain,2009
raceyou05ttom,Race You to the Bottom,2005
rachelg08ried,Rachel Getting Married,2008
racingd09eams,Racing Dreams,2009
racinge15tion,Racing Extinction,2015
racings05ipes,Racing Stripes,2005
radiant06city,Radiant City,2006
radio03adio,Radio,2003
radiofr10muth,Radio Free Albemuth,2010
radioun12able,Radio Unnameable,2012
raid2:b14ndal,The Raid 2: Berandal,2014
raiders15made,Raiders!: The Story of the Greatest Fan Film Ever Made,2015
rails&t07ties,Rails & Ties,2007
railway13yman,The Railway Man,2013
raini01aini,Rain,2001
raiseyo04oice,Raise Your Voice,2004
raising02rgas,Raising Victor Vargas,2002
raising04elen,Raising Helen,2004
raja03raja,Raja,2003
rajanat14rlal,Raja Natwarlal,2014
raktikh15kaen,Rak ti Khon Kaen,2015
ramaiya13aiya,Ramaiya Vastavaiya,2013
rambo08ambo,Rambo,2008
ramonaa10ezus,Ramona and Beezus,2010
rampart11part,Rampart,2011
rancher08eroi,Ranchero,2008
rang-ek99hoda,Rang-e khoda,1999
rango11ango,Rango,2011
rangzid10nfei,Rang zi dan fei,2010
rank06rank,Rank,2006
rapt09rapt,Rapt,2009
rareexp10orts,Rare Exports,2010
raspber04eich,The Raspberry Reich,2004
rat00rat,Rat,2000
ratatou07ille,Ratatouille,2007
ratcatc99cher,Ratcatcher,1999
ratchet16lank,Ratchet & Clank,2016
ratrace01race,Rat Race,2001
raveni12veni,The Raven,2012
rawfait10aith,Raw Faith,2010
rayemak01khfi,Raye makhfi,2001
rayi04rayi,Ray,2004
raze13raze,Raze,2013
reader08ader,The Reader,2008
readyto00mble,Ready to Rumble,2000
realcan03ncun,The Real Cancun,2003
realdir05john,The Real Dirt on Farmer John,2005
reality12tyii,Reality,2012
realste11teel,Real Steel,2011
realwom02rves,Real Women Have Curves,2002
reaping07ping,The Reaping,2007
reason14ason,A Reason,2014
rebelle12elle,Rebelle,2012
rebirth11thii,Rebirth,2011
rebound05ound,Rebound,2005
recepti05tion,The Reception,2005
recess:01sout,Recess: School's Out,2001
reckoni02ngii,The Reckoning,2002
reconst03tion,Reconstruction,2003
recover16ryvi,Recovery,2016
recruit03ruit,The Recruit,2003
red10red,RED,2010
red213red2,RED 2,2013
redacte07cted,Redacted,2007
redarmy14army,Red Army,2014
redbelt08belt,Redbelt,2008
redbets03etsy,Red Betsy,2003
reddawn12dawn,Red Dawn,2012
reddoor05oors,Red Doors,2005
reddrag02agon,Red Dragon,2002
redempt10road,Redemption Road,2010
redeye05deye,Red Eye,2005
redflag12flag,Red Flag,2012
redhill10hill,Red Hill,2010
redhook12mmer,Red Hook Summer,2012
redligh12ghts,Red Lights,2012
redline07line,Redline,2007
redobse13sion,Red Obsession,2013
redplan00anet,Red Planet,2000
redridi09logy,Red Riding: The Year of Our Lord 1974,2009
redridi11hood,Red Riding Hood,2011
redroad06road,Red Road,2006
redstat11tate,Red State,2011
redtail12ails,Red Tails,2012
redwood13hway,Redwood Highway,2013
reelpar05dise,Reel Paradise,2005
reflekt15apes,The Reflektor Tapes,2015
refugei12ugei,Refuge,2012
regress15ioni,Regression,2015
reignof02fire,Reign of Fire,2002
reignov07erme,Reign Over Me,2007
reinas05inas,Reinas,2005
reincar12ated,Reincarnated,2012
reindee00ames,Reindeer Games,2000
rejoice10hout,Rejoice and Shout,2010
relatos14ajes,Relatos salvajes,2014
religul08lous,Religulous,2008
relucta12list,The Reluctant Fundamentalist,2012
remaini14ingi,The Remaining,2014
remains16insi,The Remains,2016
remarka16life,A Remarkable Life,2016
remembe00tans,Remember the Titans,2000
remembe10erme,Remember Me,2010
remembe15beri,Remember,2015
remembe16goal,Remember the Goal,2016
remotea13ical,Remote Area Medical,2013
renaiss06ance,Renaissance,2006
renditi07tion,Rendition,2007
reno91107iami,Reno 911!: Miami,2007
renoir12noir,Renoir,2012
rent05rent,Rent,2005
renxiao02oyao,Ren xiao yao,2002
renzaij10ngtu,Ren zai jiong tu,2010
repenta13ncei,Repentance,2013
replace00ents,The Replacements,2000
repo!th08pera,Repo! The Genetic Opera,2008
repomen10omen,Repo Men,2010
reprise06rise,Reprise,2006
requiem00ream,Requiem for a Dream,2000
requiem06uiem,Requiem,2006
requiem15ream,Requiem for the American Dream,2015
rescued06dawn,Rescue Dawn,2006
reserva07road,Reservation Road,2007
residen02evil,Resident Evil,2002
residen04ypse,Resident Evil: Apocalypse,2004
residen07tion,Resident Evil: Extinction,2007
residen10life,Resident Evil: Afterlife,2010
residen12tion,Resident Evil: Retribution,2012
respire14pire,Respire,2014
respiro02piro,Respiro,2002
restaur98rant,Restaurant,1998
restles11city,Restless City,2011
restles11essi,Restless,2011
restles98less,Restless,1998
restrep10repo,Restrepo,2010
results15ults,Results,2015
resurre07hamp,Resurrecting the Champ,2007
resurre11iles,Resurrect Dead: The Mystery of the Toynbee Tiles,2011
retriev13eval,The Retrieval,2013
return11turn,Return,2011
return13rned,The Returned,2013
returni06urni,The Return,2006
returnt00tome,Return to Me,2000
returnt02land,Return to Never Land,2002
returnt04ders,Return to the Land of Wonders,2004
returnt13ume1,Return to Nuke 'Em High Volume 1,2013
reunion09onii,Reunion,2009
reuniti10bins,Reuniting the Rubins,2010
revanch08nche,Revanche,2008
revenan15nant,The Revenant,2015
revenge11ccar,Revenge of the Electric Car,2011
revenge13kons,Revenge of the Mekons,2013
revenge14gons,Revenge of the Green Dragons,2014
revisio12ries,The Revisionaries,2012
revolut01on#9,Revolution #9,2001
revolut01onos,Revolution OS,2001
revolut08road,Revolutionary Road,2008
revolve05lver,Revolver,2005
rhymesf13ouls,Rhymes for Young Ghouls,2013
richhil14hill,Rich Hill,2014
rick03rick,Rick,2003
rickian15lash,Ricki and the Flash,2015
rickyi09ckyi,Ricky,2009
ricorda03dime,Ricordati di me,2003
riddick13dick,Riddick,2013
ridealo14long,Ride Along,2014
ridealo16ong2,Ride Along 2,2016
ridei14idei,Ride,2014
ridingg04ants,Riding Giants,2004
ridingi01boys,Riding in Cars with Boys,2001
ridingt04llet,Riding the Bullet,2004
ridofme11ofme,Rid of Me,2011
rightat06door,Right at Your Door,2006
righteo08kill,Righteous Kill,2008
rightki13rong,The Right Kind of Wrong,2013
ring02ring,The Ring,2002
ringer05nger,The Ringer,2005
ringtwo05gtwo,The Ring Two,2005
"rio,eut14eamo","Rio, Eu Te Amo",2014
rio11rio,Rio,2011
rio214rio2,Rio 2,2014
riotclu14club,The Riot Club,2014
ririshu01bete,Riri Shushu no subete,2001
risen16isen,Risen,2016
riseoft11apes,Rise of the Planet of the Apes,2011
riseoft12ians,Rise of the Guardians,2012
risingf12shes,Rising from Ashes,2012
risingp01lace,The Rising Place,2001
risings10tars,Rising Stars,2010
risk/re03ward,Risk/Reward,2003
ritana02tana,Ritânâ,2002
rite11rite,The Rite,2011
riverof14ment,River of Fundament,2014
riversa01ides,Rivers and Tides,2001
rize05rize,Rize,2005
roadhar15hard,Road Hard,2015
roadi09oadi,The Road,2009
roadie11adie,Roadie,2011
roadiii11diii,The Road,2011
roadsid08omeo,Roadside Romeo,2008
roadtoe00rado,The Road to El Dorado,2000
roadtog06namo,The Road to Guantanamo,2006
roadtoj15arez,Road to Juarez,2015
roadton10erei,Road to Nowhere,2010
roadton12ovie,Road to Ninja: Naruto the Movie,2012
roadtop02tion,Road to Perdition,2002
roadtri00trip,Road Trip,2000
roadwit14thin,The Road Within,2014
roar81roar,Roar,1981
robinho10hood,Robin Hood,2010
robinso16usoe,Robinson Crusoe,2016
robocop14ocop,RoboCop,2014
robot&f12rank,Robot & Frank,2012
robots05bots,Robots,2005
robotst03ries,Robot Stories,2003
robthem14emob,Rob the Mob,2014
rocker08cker,The Rocker,2008
rocket13cket,The Rocket,2013
rockets03are!,Rockets Redglare!,2003
rockets07ence,Rocket Science,2007
rocknro08olla,RocknRolla,2008
rockofa12ages,Rock of Ages,2012
rocksch05hool,Rock School,2005
rocksin14kets,Rocks in My Pockets,2014
rocksta01star,Rock Star,2001
rockthe06ells,Rock the Bells,2006
rockthe15sbah,Rock the Kasbah,2015
rockyba06lboa,Rocky Balboa,2006
rogerdo02dger,Roger Dodger,2002
rogue07ogue,Rogue,2007
rogueon16eone,Rogue One,2016
roisetr04eine,Rois et reine,2004
rolemod08dels,Role Models,2008
rollbou05unce,Roll Bounce,2005
rollerb02ball,Rollerball,2002
romance05ttes,Romance & Cigarettes,2005
romande07gare,Roman de gare,2007
romanpo08ired,Roman Polanski: Wanted and Desired,2008
romanti05tico,Romántico,2005
romanti10tics,The Romantics,2010
romeo&j05kiss,Romeo & Juliet: Sealed with a Kiss,2005
romeo&j13etii,Romeo & Juliet,2013
romeomu00tdie,Romeo Must Die,2000
romulus07ther,"Romulus, My Father",2007
rookie02okie,The Rookie,2002
room23712237i,Room 237,2012
roomfor99rass,A Room for Romeo Brass,1999
roomi05oomi,Room,2005
roomi15oomi,Room,2015
roommat11atei,The Roommate,2011
roost05oost,The Roost,2005
roozike00odam,Roozi ke zan shodam,2000
roseann15ent!,Roseanne for President!,2015
rosencr09dead,Rosencrantz and Guildenstern Are Undead,2009
rosenst03asse,Rosenstrasse,2003
rosenwa15wald,Rosenwald,2015
rosewat14ater,Rosewater,2014
rover14over,The Rover,2014
rowdyra12hore,Rowdy Rathore,2012
royalni15tout,A Royal Night Out,2015
royalte01aums,The Royal Tenenbaums,2001
ruangra03asan,Ruang rak noi nid mahasan,2003
rubber10bber,Rubber,2010
rubbern12neck,Rubberneck,2012
rubblek10ings,Rubble Kings,2010
rubyspa12arks,Ruby Sparks,2012
rudderl14less,Rudderless,2014
rudoycu08ursi,Rudo y Cursi,2008
rugrats00tsii,Rugrats in Paris: The Movie - Rugrats II,2000
rugrats03wild,Rugrats Go Wild,2003
ruins08uins,The Ruins,2008
rulesdo16pply,Rules Don't Apply,2016
rulesof00ment,Rules of Engagement,2000
rulesof02tion,The Rules of Attraction,2002
rumdiar11iary,The Rum Diary,2011
rumorha05asit,Rumor Has It...,2005
rumorof00gels,A Rumor of Angels,2000
run&jum13jump,Run & Jump,2013
runalln15ight,Run All Night,2015
runaway03jury,Runaway Jury,2003
runaway10ways,The Runaways,2010
rundown03down,The Rundown,2003
rundsko11skop,Rundskop,2011
runfatb07yrun,Run Fatboy Run,2007
runnerr13nner,Runner Runner,2013
running06ared,Running Scared,2006
running06sors,Running with Scissors,2006
running13razy,Running from Crazy,2013
running99free,Running Free,1999
runoff14noff,Runoff,2014
rushhou01our2,Rush Hour 2,2001
rushhou07our3,Rush Hour 3,2007
rushi13ushi,Rush,2013
russian01doll,Russian Doll,2001
russian15cker,The Russian Woodpecker,2015
russkiy02cheg,Russkiy kovcheg,2002
rv06rv,RV,2006
"s-21,la03ouge","S-21, la machine de mort Khmère rouge",2003
s.w.a.t03a.t.,S.W.A.T.,2003
s1m0ne02m0ne,S1m0ne,2002
saalakh16doos,Saala Khadoos,2016
saawari07riya,Saawariya,2007
sabotag14tage,Sabotage,2014
saccoan06etti,Sacco and Vanzetti,2006
sacrame13ment,The Sacrament,2013
sacredp04anet,Sacred Planet,2004
saddest03orld,The Saddest Music in the World,2003
sade00sade,Sade,2000
safareg01ehar,Safar e Ghandehar,2001
safehav13veni,Safe Haven,2013
safehou12ouse,Safe House,2012
safei12afei,Safe,2012
safetyn12teed,Safety Not Guaranteed,2012
safetyo01ects,The Safety of Objects,2001
sagrada12acio,Sagrada: El misteri de la creació,2012
sahara05hara,Sahara,2005
saideke11ngqi,Sai de ke · ba lai: Tai yang qi,2011
saintjo09egas,Saint John of Las Vegas,2009
saintl14rent,Saint Laurent,2014
saintmi09ovie,Saint Misbehavin': The Wavy Gravy Movie,2009
saintof069/11,Saint of 9/11,2006
saintra04alph,Saint Ralph,2004
saintsa03iers,Saints and Soldiers,2003
saintsa04ners,Saints and Sinners,2004
sajiaon14ming,Sa jiao nu ren zui hao ming,2014
sali11sali,Sal,2011
salinge13nger,Salinger,2013
salinui03ueok,Salinui chueok,2003
salmerf03enet,Salmer fra kjøkkenet,2003
salmonf11emen,Salmon Fishing in the Yemen,2011
salon05athe,The Salon,2005
salt10salt,Salt,2010
saltoft14arth,The Salt of the Earth,2014
saltons02nsea,The Salton Sea,2002
salvand11erez,Salvando al Soldado Pérez,2011
salvati11vard,Salvation Boulevard,2011
salvati14tion,The Salvation,2014
samarit12tani,The Samaritan,2012
samauoz09uozu,Samâ uôzu,2009
samba14amba,Samba,2014
samgaa04ngyi,Saam gaang yi,2004
samplet12this,Sample This,2012
samsara11arai,Samsara,2011
sanandr15reas,San Andreas,2015
sanctum11ctum,Sanctum,2011
sangail15sara,Sangailes vasara,2015
sangerf00ngen,Sånger från andra våningen,2000
sangsat06awat,Sang sattawat,2006
sanrenx16xing,San ren xing,2016
sanshao16jian,San shao ye de jian,2016
sansiul11amzi,San siu lam zi,2011
sansque10tete,Sans queue ni tête,2010
sansuku09igin,San suk si gin,2009
santaam07taam,San taam,2007
santacl02use2,The Santa Clause 2,2002
santacl06ause,The Santa Clause 3: The Escape Clause,2006
santavs02wman,Santa vs. the Snowman 3D,2002
santito99itos,Santitos,1999
sanxiah06oren,Sanxia haoren,2006
sapphir12ires,The Sapphires,2012
saraban05band,Saraband,2003
sarahpa11cha!,Sarah Palin: You Betcha!,2011
sarahsi05agic,Sarah Silverman: Jesus Is Magic,2005
saratov13oach,The Saratov Approach,2013
sarusub15usai,Sarusuberi: Miss Hokusai,2015
sasquat06gang,The Sasquatch Gang,2006
satanic16anic,Satanic,2016
satinro02ouge,Satin rouge,2002
satyagr13ahai,Satyagraha,2013
saulfia15lfia,Saul fia,2015
sausage16arty,Sausage Party,2016
savageg07race,Savage Grace,2007
savages07ages,The Savages,2007
savages12ages,Savages,2012
savanna13nnah,Savannah,2013
saved!04ved!,Saved!,2004
savemei07emei,Save Me,2007
savethe01ance,Save the Last Dance,2001
savethe12atei,Save the Date,2012
savingc14tmas,Saving Christmas,2014
savingf04face,Saving Face,2004
savingg00race,Saving Grace,2000
savingm13anks,Saving Mr. Banks,2013
savings01rman,Saving Silverman,2001
savings06iloh,Saving Shiloh,2006
saw04saw,Saw,2004
saw3d10aw3d,Saw 3D,2010
sawii05awii,Saw II,2005
sawiii06wiii,Saw III,2006
sawiv07awiv,Saw IV,2007
sawv08sawv,Saw V,2008
sawvi09awvi,Saw VI,2009
sayitis01'tso,Say It Isn't So,2001
sayuncl05ncle,Say Uncle,2005
sbkthe-14ovie,SBK The-Movie,2014
scanner06rkly,A Scanner Darkly,2006
scarlet00diva,Scarlet Diva,2000
scarymo00ovie,Scary Movie,2000
scarymo01vie2,Scary Movie 2,2001
scarymo03vie3,Scary Movie 3,2003
scarymo06vie4,Scary Movie 4,2006
scarymo13vie5,Scary Movie 5,2013
scatter13rf's,Scatter My Ashes at Bergdorf's,2013
scenicr13oute,Scenic Route,2013
schaste10emoe,Schaste moe,2010
schoolf06rels,School for Scoundrels,2006
schoolo03rock,The School of Rock,2003
schultz03lues,Schultze Gets the Blues,2003
scooby-02-doo,Scooby-Doo,2002
scooby-04shed,Scooby-Doo 2: Monsters Unleashed,2004
scoop06coop,Scoop,2006
score01core,The Score,2001
scorpio02king,The Scorpion King,2002
"scotlan01,pa.","Scotland, Pa.",2001
scottpi10orld,Scott Pilgrim vs. the World,2010
scottsb00gedy,Scottsboro: An American Tragedy,2000
scoundr02wife,The Scoundrel's Wife,2002
scoutsg15ypse,Scouts Guide to the Zombie Apocalypse,2015
scratch01atch,Scratch,2001
scream300eam3,Scream 3,2000
scream411eam4,Scream 4,2011
screame06mers,Screamers,2006
screend03esus,Screen Door Jesus,2003
screwed00ewed,Screwed,2000
"se,jie07,jie","Se, jie",2007
seabisc03cuit,Seabiscuit,2003
seaoftr15rees,The Sea of Trees,2015
searche16ines,Search Engines,2016
searchf14ltso,The Search for General Tso,2014
searchi03esus,Searching for the Wrong-Eyed Jesus,2003
searchi12rman,Searching for Sugar Man,2012
searchp14arty,Search Party,2014
seasono11itch,Season of the Witch,2011
seasons16rger,The Seasons in Quincy: Four Portraits of John Berger,2016
secondb15otel,The Second Best Exotic Marigold Hotel,2015
secondc06ance,The Second Chance,2006
secondh03ions,Secondhand Lions,2003
secreta02tary,Secretary,2002
secreta10riat,Secretariat,2010
secretd12tion,The Secret Disco Revolution,2012
secreti15eyes,Secret in Their Eyes,2015
secretl02ists,The Secret Lives of Dentists,2002
secretl02wwii,Secret Lives: Hidden Children and Their Rescuers During WWII,2002
secretl05ords,The Secret Life of Words,2005
secretl08bees,The Secret Life of Bees,2008
secretl13itty,The Secret Life of Walter Mitty,2013
secretl16pets,The Secret Life of Pets,2016
secreto09ells,The Secret of Kells,2009
secrets00iety,Secret Society,2000
secretw04ndow,Secret Window,2004
secuest05ress,Secuestro express,2005
seed:th16tory,Seed: The Untold Story,2016
seedofc04ucky,Seed of Chucky,2004
seedsof13time,Seeds of Time,2013
seeingo04ople,Seeing Other People,2004
seeker:07sing,The Seeker: The Dark Is Rising,2007
seeking11tice,Seeking Justice,2011
seeking12orld,Seeking a Friend for the End of the World,2012
seenoev06evil,See No Evil,2006
seespot01trun,See Spot Run,2001
seewhat09tary,See What I'm Saying: The Deaf Entertainers Documentary,2009
self/le15less,Self/less,2015
selfish13iant,The Selfish Giant,2013
selfmed05ated,Self Medicated,2005
selma14elma,Selma,2014
sembene15ene!,Sembene!,2015
semi-pr08-pro,Semi-Pro,2008
senna10enna,Senna,2010
sennen01joyu,Sennen joyû,2001
sentine06inel,The Sentinel,2006
sentoch01ushi,Sen to Chihiro no kamikakushi,2001
seom00seom,Seom,2000
seoulse15hing,Seoul Searching,2015
separat05lies,Separate Lies,2005
septemb07dawn,September Dawn,2007
septemb09ssue,The September Issue,2009
seraphi06alls,Seraphim Falls,2006
seraphi08hine,Séraphine,2008
serbis08rbis,Serbis,2008
serbuan11maut,Serbuan maut,2011
serenai14enai,Serena,2014
serendi01pity,Serendipity,2001
serenit05nity,Serenity,2005
seresqu04idos,Seres queridos,2004
series701ders,Series 7: The Contenders,2001
serieso04ents,A Series of Unfortunate Events,2004
serious09ight,Serious Moonlight,2009
serious09sman,A Serious Man,2009
serving02sara,Serving Sara,2002
session01ion9,Session 9,2001
session12ions,The Sessions,2012
setfire14tars,Set Fire to the Stars,2014
seukaen03jisa,Seukaendeul - Joseon namnyeo sangyeoljisa,2003
sevenda11opia,Seven Days in Utopia,2011
sevenfi14five,The Seven Five,2014
sevenpo08unds,Seven Pounds,2008
sevenps12aths,Seven Psychopaths,2012
seventh14fire,The Seventh Fire,2015
seventh14soni,Seventh Son,2014
severan06ance,Severance,2006
"sex,dea15ling","Sex, Death and Bowling",2015
"sex,pol02ails","Sex, Politics & Cocktails",2002
sexandd07h101,Sex and Death 101,2007
sexandt08city,Sex and the City,2008
sexandt10ity2,Sex and the City 2,2010
sexdriv08rive,Sex Drive,2008
sexisco02medy,Sex Is Comedy,2002
sexposi08tive,Sex Positive,2008
sexsell05uche,Sex Sells: The Making of 'Touché',2005
sextape14tape,Sex Tape,2014
sexwith02gers,Sex with Strangers,2002
sexybea00east,Sexy Beast,2000
seymour14tion,Seymour: An Introduction,2014
shade03hade,Shade,2003
shadowb05oxer,Shadowboxer,2005
shadowd05ncer,The Shadow Dancer,2005
shadowh00ours,Shadow Hours,2000
shadowo00pire,Shadow of the Vampire,2000
shadoww16orld,Shadow World,2016
shaft00haft,Shaft,2000
shaggyd06ydog,The Shaggy Dog,2006
shakeha04aire,Shake Hands with the Devil: The Journey of Roméo Dallaire,2004
shakeha07evil,Shake Hands with the Devil,2007
shakesp05bars,Shakespeare Behind Bars,2005
shallow01whal,Shallow Hal,2001
shallow16lows,The Shallows,2016
shallwe04ance,Shall We Dance,2004
shame11hame,Shame,2011
shangha00noon,Shanghai Noon,2000
shangha02etto,Shanghai Ghetto,2002
shangha03ghts,Shanghai Knights,2003
shangha10ghai,Shanghai,2010
shangha12ling,Shanghai Calling,2012
shangri16uite,Shangri-La Suite,2016
shanheg15uren,Shan he gu ren,2015
shapeof03ings,The Shape of Things,2003
sharkni11ht3d,Shark Night 3D,2011
sharkta04tale,Shark Tale,2004
sharkwa06ater,Sharkwater,2006
shatter03lass,Shattered Glass,2003
shaunof04dead,Shaun of the Dead,2004
shaunth15ovie,Shaun the Sheep Movie,2015
she'sbe14ngry,She's Beautiful When She's Angry,2014
she'sfu14tway,She's Funny That Way,2014
she'slo14roli,She's Lost Control,2014
she'sou10ague,She's Out of My League,2010
she'sth06eman,She's the Man,2006
shehate04teme,She Hate Me,2004
shelter07erii,Shelter,2007
shem04shem,Shem,2004
shepard12dark,Shepard & Dark,2012
sherloc09lmes,Sherlock Holmes,2009
sherloc11dows,Sherlock Holmes: A Game of Shadows,2011
sherman08sway,Sherman's Way,2008
sherryb06baby,Sherrybaby,2006
shi10shi,Shi,2010
shifu15hifu,Shi Fu,2015
shigu15higu,Shi gu,2015
shijie04ijie,Shijie,2004
shilton11chok,Shilton Ha Chok,2011
shimian04aifu,Shi mian mai fu,2004
shimots04tari,Shimotsuma monogatari,2004
shineal08ight,Shine a Light,2008
shingoj16jira,Shin Gojira,2016
shippin01news,The Shipping News,2001
shiqisu01nche,Shiqi sui de dan che,2001
shirini14love,Shirin in Love,2014
shiza04hiza,Shiza,2004
shockto06stem,Shock to the System,2006
shojo01hojo,Shôjo,2001
sholema11ness,Sholem Aleichem: Laughing in the Darkness,2011
shoot'e07emup,Shoot 'Em Up,2007
shooter07teri,Shooter,2007
shootin05dogs,Shooting Dogs,2005
shooton07ight,Shoot on Sight,2007
shootou13dala,Shootout at Wadala,2013
shopgir05girl,Shopgirl,2005
shortbu06tbus,Shortbus,2006
shortcu04mela,Short Cut to Nirvana: Kumbh Mela,2004
shortga13game,The Short Game,2013
shorts09orts,Shorts,2009
shortte13rm12,Short Term 12,2013
shotatg00lory,A Shot at Glory,2000
shotgun07ries,Shotgun Stories,2007
shottas02ttas,Shottas,2002
shoutgl15ladi,Shout Gladi Gladi,2015
showboy02wboy,Showboy,2002
showbus07dway,ShowBusiness: The Road to Broadway,2007
showrun14show,Showrunners: The Art of Running a TV Show,2014
showtim02time,Showtime,2002
shrek01hrek,Shrek,2001
shrek204rek2,Shrek 2,2004
shrekfo10fter,Shrek Forever After,2010
shrekth07hird,Shrek the Third,2007
shrink09rink,Shrink,2009
shrooms07ooms,Shrooms,2007
shtikat10hion,Shtikat Haarchion,2010
shuddhd13ance,Shuddh Desi Romance,2013
shunliu00iliu,Shun liu ni liu,2000
shurayu01hime,Shura Yukihime,2001
shutin16utin,Shut In,2016
shutter08teri,Shutter,2008
shutter10land,Shutter Island,2010
shutup&06sing,Shut Up & Sing,2006
shutupa06sing,Shut Up and Sing,2006
shutupa12hits,Shut Up and Play the Hits,2012
shwaas04waas,Shwaas,2004
"sia,ler01thon","Sia, le rêve du python",2001
sicario15ario,Sicario,2015
sicko07icko,Sicko,2007
siddhar13arth,Siddharth,2013
sidebys12side,Side by Side,2012
sideeff05ctsi,Side Effects,2005
sideeff13ctsi,Side Effects,2013
sidewal01york,Sidewalks of New York,2001
sideway04ways,Sideways,2004
siganit16alja,Siganitalja,2016
sightse12eers,Sightseers,2012
signal07gnal,The Signal,2007
signal14gnal,The Signal,2014
signs&w00ders,Signs & Wonders,2000
signs02igns,Signs,2002
sikanda09ndar,Sikandar,2009
silence16ncei,Silence,2016
sileni05leni,Sílení,2005
silenth06hill,Silent Hill,2006
silenth11ouse,Silent House,2011
silenth12on3d,Silent Hill: Revelation 3D,2012
silentl04love,A Silent Love,2004
silentn12ghti,Silent Night,2012
silicon16boys,Silicon Cowboys,2016
silk07silk,Silk,2007
silverc04city,Silver City,2004
silverc13rcle,Silver Circle,2013
silverl12book,Silver Linings Playbook,2012
simianl00line,The Simian Line,2000
simon04imon,Simon,2004
simonki12ller,Simon Killer,2012
simonma99agus,Simon Magus,1999
simonoc11arna,Simon och ekarna,2011
simpati99tico,Simpatico,1999
simpson07ovie,The Simpsons Movie,2007
sinbad:03seas,Sinbad: Legend of the Seven Seas,2003
sincity05city,Sin City,2005
sincity14lfor,Sin City: A Dame to Kill For,2014
sing16sing,Sing,2016
singham11gham,Singham,2011
singing03tive,The Singing Detective,2003
singlem09eman,A Single Man,2009
singlem14club,The Single Moms Club,2014
singles13shot,A Single Shot,2013
singstr16reet,Sing Street,2016
singyou11song,Sing Your Song,2011
siniste12teri,Sinister,2012
siniste15ter2,Sinister 2,2015
sinnomb09mbre,Sin nombre,2009
sinnoti01dios,Sin noticias de Dios,2001
sinsegy13egye,Sinsegye,2013
sione's06ding,Sione's Wedding,2006
sir!nos05sir!,Sir! No Sir!,2005
sirendi13gzhi,Si ren ding zhi,2013
sisterc15code,Sister Code,2015
sisterh02elen,Sister Helen,2002
sisterh05ants,The Sisterhood of the Traveling Pants,2005
sisterh08nts2,The Sisterhood of the Traveling Pants 2,2008
sisterh14ight,The Sisterhood of Night,2014
sisters05nlaw,Sisters in Law,2005
sisters05ters,The Sisters,2005
sisters15siii,Sisters,2015
sitter11tter,The Sitter,2011
situati06ioni,The Situation,2006
siulamj01kkau,Siu Lam juk kau,2001
siuninw93alau,Siu nin Wong Fei Hung chi: Tit ma lau,1993
sixdanc14eeks,Six Dance Lessons in Six Weeks,2014
sixtysi06six,Sixty Six,2006
skatela10land,Skateland,2010
skeleto05nkey,The Skeleton Key,2005
skeleto14wins,The Skeleton Twins,2014
skeptic09ptic,The Skeptic,2009
sketche06ehry,Sketches of Frank Gehry,2005
skillsl07this,Skills Like This,2007
skins02kins,Skins,2002
skintoo02rake,A Skin Too Few: The Days of Nick Drake,2002
skintra14rade,Skin Trade,2014
skinwal06kers,Skinwalkers,2006
skulls00ulls,The Skulls,2000
skycapt04rrow,Sky Captain and the World of Tomorrow,2004
skyfall12fall,Skyfall,2012
skyhigh05high,Sky High,2005
skyline10line,Skyline,2010
slacker02kers,Slackers,2002
slammin09lmon,The Slammin' Salmon,2009
slashi16ashi,Slash,2016
slaught02rule,The Slaughter Rule,2002
sleepde08aler,Sleep Dealer,2008
sleepin11auty,Sleeping Beauty,2011
sleepin15ople,Sleeping with Other People,2015
sleepov04over,Sleepover,2004
sleepwa08king,Sleepwalking,2008
sleepwa12thme,Sleepwalk with Me,2012
sleepwa14lker,The Sleepwalker,2014
sleuth07euth,Sleuth,2007
slippin99life,A Slipping-Down Life,1999
slipstr07ream,Slipstream,2007
slither06ther,Slither,2006
slowbur05burn,Slow Burn,2005
slowlea15ners,Slow Learners,2015
slowwes15west,Slow West,2015
slumdog08aire,Slumdog Millionaire,2008
sluttys04mmer,Slutty Summer,2004
"small,b11arts","Small, Beautifully Moving Parts",2011
smallti00ooks,Small Time Crooks,2000
smallto10ongs,Small Town Murder Songs,2010
smartpe08ople,Smart People,2008
smash&g13hers,Smash & Grab: The Story of the Pink Panthers,2013
smashed12shed,Smashed,2012
smashhi10mera,Smash His Camera,2010
smilei05ilei,Smile,2005
smileyf07face,Smiley Face,2007
smiling13ypse,Smiling Through the Apocalypse,2013
smokin'06aces,Smokin' Aces,2006
smother08erii,Smother,2008
smurfs11urfs,The Smurfs,2011
smurfs213rfs2,The Smurfs 2,2013
snabbac10cash,Snabba cash,2010
snake&m13oose,Snake & Mongoose,2013
snakeso06lane,Snakes on a Plane,2006
snatch00atch,Snatch,2000
sneaker15eadz,Sneakerheadz,2015
snipes01ipes,Snipes,2001
snitchi13tchi,Snitch,2013
snowang07elsi,Snow Angels,2007
snowcak06cake,Snow Cake,2006
snowday00wday,Snow Day,2000
snowden16wden,Snowden,2016
snowdog02dogs,Snow Dogs,2002
snowflo11tfan,Snow Flower and the Secret Fan,2011
snowman10land,Snowman's Land,2010
